start	end	text
0	1740	So I want you to imagine something for a second.
2240	9140	Imagine trying to guess, like, the exact weather conditions on the day someone was born just
9140	11280	by watching how they stir their coffee today.
11420	13960	Right, which sounds completely ridiculous.
14120	14440	Exactly.
14620	20180	I mean, if they swirl it clockwise, maybe it was raining, or if they tap the spoon twice,
20300	21080	maybe it was a Tuesday.
21400	23040	It sounds completely absurd.
23340	24820	The connection is totally severed.
24960	26120	Yeah, the time has passed.
26200	28260	Those original variables are just, they're gone.
28400	28600	Right.
28600	33060	But the crazy thing is, that is essentially what astrophysicists are doing with galaxies
33060	33600	right now.
33960	39980	I mean, they're looking at how a massive, mature galaxy spins today, and they are using that
39980	47320	rotation to read the invisible primordial gravitational environment from billions of years ago.
47440	50820	And, well, the truly mind-bending part is that it's actually working.
51100	54160	It's working, and that's our mission for this deep dive.
54160	59400	We are welcoming you, the insanely curious listener, to a really heavy but fascinating
59400	60040	topic today.
60120	64300	Yeah, we are fundamentally rethinking what it means for the universe to, you know, hold
64300	64940	on to a memory.
65260	66740	So let's talk about the source material.
67160	72200	We're grounding this deep dive in a 2026 paper by an independent researcher named Flyxion.
72820	76900	It's called, uh, Primordial Distinctions in Cosmological Memory.
76900	77700	That's right.
78280	83700	And Flyxion builds this really profound theoretical framework on top of a landmark observational
83700	85880	study led by Sheng and their colleagues.
86020	88640	So Sheng's team brought the hard data, right?
88720	89120	Exactly.
89520	94320	They provided the actual astronomical measurements of these galaxies, and Flyxion steps back
94320	100140	to ask, well, what does this discovery actually mean for the nature of information and time
100140	100960	in the cosmos?
100960	105720	And I want to promise you, the listener, right now we're dealing with some heavy astrophysics
105720	105960	here.
106080	109620	We've got tidal torque theory, advanced statistics, spectral mathematics.
109840	110740	It gets deep.
110820	111580	It gets very deep.
111880	118180	But we're going to extract the most incredible aha moments without getting totally bogged down
118180	118640	in the jargon.
118700	119600	We're going to unpack it all.
119700	119960	Definitely.
120200	122340	So let's start with the hard data from Sheng's team.
123040	127580	They looked at present-day galaxies and found this connection to their ancient pre-galactic
127580	131400	seeds, right, the proto-halos.
131640	132560	Yeah, the proto-halos.
133000	136960	And they didn't just find like a vague hint of a connection.
137060	137200	Right.
137240	138400	It was a massive signal.
138540	139440	Far from vague.
139440	145920	They found a statistically recoverable relationship between a galaxy's present-day angular momentum,
146300	151160	you know, its spin, and the primordial tidal field that acted upon its proto-halo.
151220	153820	And the significance level on this was huge, wasn't it?
153820	158960	It was quantified at a 7.0 sigma significance level in their fiducial analysis.
159200	159800	Okay, hold on.
159920	165380	For context, for those who might not follow statistical physics closely, 5 sigma is basically
165380	166840	the gold standard in physics, right?
166880	168100	Yeah, 5 sigma is massive.
168200	168360	Right.
168600	171840	If you hit 5 sigma, you get to hold a press conference and announce you've discovered
171840	174340	a new particle or confirmed a major theory.
174860	180660	The odds of a 5 sigma result being a random fluke are like 1 in 3.5 million.
180660	181220	Exactly.
181460	186400	So hitting 7 sigma, that means the signal is just undeniably mathematically real.
186860	187180	Wow.
187560	189340	Okay, but I have to play devil's advocate here.
189620	193700	If I'm looking at a galaxy, I see this ancient, massive structure.
194440	195940	Why wouldn't it remember its past?
196000	197120	I mean, we remember ours.
197260	198560	A fossil remembers a dinosaur.
199020	201480	Why is this cosmic memory considered so impossible?
201880	207220	Well, because comparing a galaxy to a fossil drastically understates the violence of a galaxy's
207220	207880	life cycle.
208400	210140	I mean, a fossil just sits in the dirt.
210140	210660	True.
210980	215900	A galaxy observed today is absolutely not in the material configuration from which it
215900	216200	began.
216320	216940	It's just not.
217700	222840	To understand why this memory is so astonishing, you have to look at what actually happens to
222840	229900	that initial blob of dark matter and primordial gas over, you know, billions of years.
229940	231200	It gets pretty chaotic, right?
231440	232720	Oh, it's incredibly violent.
233040	234880	First, you have catastrophic shocking.
234880	240360	As the gas collapses under gravity, it heats up to millions of degrees, then it cools, and
240360	243540	then it fragments to form billions of individual stars.
243880	246520	So the continuous cloud of gas is just destroyed.
246860	251100	It's turned into billions of discrete burning points of light.
251220	254420	That alone seems like it would scramble the original structure.
254580	255440	And that is just the beginning.
255740	259020	I mean, the entire structure is then reorganized by massive mergers.
259540	261120	Galaxies do not live in isolation.
261300	261440	Right.
261520	262900	They crash into each other all the time.
263240	263740	Exactly.
264420	270320	When two galaxies collide, the gravitational tidal forces literally rip long trails of
270320	272320	stars out of their original orbits.
272880	276000	The dark matter halos undergo virialization.
276540	277100	Virialization.
277220	277600	What's that?
277600	283880	It basically means they enter a state of chaotic, rapidly fluctuating gravitational equilibrium.
284280	286560	It completely washes out their initial boundaries.
286720	287280	Oh, wow.
287440	287640	Okay.
287820	290020	And on top of that, you have energetic feedback.
290460	296020	You've got supermassive black holes at the center, igniting and blasting immense jets
296020	297200	of radiation outward.
297420	297640	Right.
297740	298480	Like quasars.
298640	298960	Yes.
299380	305380	Plus, thousands of supernovas exploding, literally physically blowing material out of the galaxy.
305380	309400	So it's less like a fossil and more like, I don't know, a sandcastle that gets hit by
309400	313040	a tidal wave and struck by lightning and then trampled by a herd of horses.
313220	314620	That's a pretty good way to picture it.
314680	314860	Yeah.
315040	320620	And yet you were telling me that the final pile of scattered sand somehow still contains
320620	324840	a readable record of the specific breeze that was blowing right as the sandcastle was
324840	325560	first being built.
325780	327140	That is the paradox right there.
327240	332340	I mean, almost zero microscopic configuration from the galaxy's seed remains today.
332680	335140	None of the original puzzle pieces are in the same place.
335140	335580	Exactly.
335800	340940	You cannot trace the material identity of the early density field continuously to today.
341280	344320	The individual particles have been completely reorganized.
344440	345540	But the memory survives.
345840	346160	Yes.
346840	351820	Despite all of that destruction, the current rotation carries information from a primordial
351820	356000	environment that literally no longer exists in any present day form.
356140	357540	That is just wild.
357780	358300	It is.
358480	360920	And this brings us to Flyxion's main thesis.
360920	364260	Flyxion argues this isn't just a quirky anomaly.
364720	367940	It's a case study for a broader rule of the universe.
368140	368420	Which is.
368800	373300	That physical persistence across cosmic time is not about the survival of an object.
373700	376060	It's about the persistence of a distinction.
376560	377060	Okay, wait, wait.
377600	381960	If the original material is completely scrambled, what exactly is doing the remembering?
382360	385940	I mean, if the sandcastle is destroyed, where's the memory stored?
385940	387540	That's the million-dollar question.
387660	387800	Right.
387880	393500	Because we are used to memory requiring a medium, a hard drive, a brain, a piece of paper.
394060	397820	If there's no continuous physical object, how does the distinction persist?
398280	403900	To solve that puzzle, we have to look mechanistically at how a galaxy gets its spin in the first place,
403980	407140	like long before the chaos even begins.
407380	408720	Okay, let's go back to the beginning then.
408720	409040	Right.
409480	412920	This is defined by classical tidal torque theory, or TTT.
413620	418400	This theory explains that the origin of dalactic angular momentum comes from a misalignment
418400	421600	between two specific properties of the early universe.
421700	422500	Okay, two properties.
422580	423120	What's the first one?
423240	425920	First, we have the protohalos inertia tensor.
426240	430780	Okay, let's break down inertia tensor because that sounds really intimidating to a lot of people.
431380	437380	A tensor is essentially just a mathematical matrix that describes how something extends in three-dimensional space.
437380	438840	Yeah, that's a good way to put it.
439080	447140	So we are really just talking about the physical 3D shape and the mass distribution of this initial blob of dark matter and gas.
447500	448400	Yes, exactly.
448820	454020	It describes how stretched, squashed, or lopsided that initial mass distribution is.
454080	454720	Okay, got it.
454760	455880	So that's the shape of the blob.
455940	456860	What's the second element?
457120	459700	The second element is the primordial tidal tensor.
